,tweets
199, muchas gracias
200, siempre atienden los requerimientos reclamos
201, me acaba de pasar lo mismo con solo por cancelar con tarjeta me cancelaron la carrera la cual tenía esperando un tiempo prudente
202,qué pasa con que porque cancelo con tarjeta no me quieren llevar los conductores 
203,police illegal alien from ecuador posing as uber lyft driver raped string of unconscious women search turned up cell phones and driver licenses taken from his victims and kept as trophies 
204,hoy me ha ido pésimo con he tratado de coordinar un uberx para que me traigan una encomienda me han cancelado al menos veces no quieren coger pago con tarjeta parece alguna otra app que recomienden 
205,acabo de usar para enviar un paquete el chofer simplemente desapareció se quedó en un mismo punto no respondió mensajes ni llamadas se quedó con el encargo 
206, exacto ya me ha pasado eso muchas veces también
207, si respondías que el pago era con tarjeta te cancelaba enseguida me pasó muchas veces cuando utilizaba ese servicio
208, no se cómo poner la queja porque el tipo canceló la carrera no me sale el viaje estoy buscando para ver cómo hago
209, debes poner la queja para que los multen llamen la atención 
210, exacto
211, no hay derecho se paga por un servicio de calidad no para recibir insultos 
212,este tipo me insultó porque no le contesté si le pagaba con tarjeta efectivo qué horrible esta gente son una sarna 
213, cuando el 
214, levántate más temprano
215, es una desgracia en menos de min me han cancelado viajes porque no quieren entrar ciudadela porque pago con tarjeta me pregunta si tengo suelto le digo que es con tarjeta me cancela son lo peor 
216, como es posible que te cancelen solo por pagar con tarjeta estos conductores son unos abusivos señores si no van prestar el servicio entonces despidan esos conductores 
217, buenos días soy socio conductor quiero agregar un vehículo no me permite el vehículo es del año 
218,no me subí en el uber porque el que llego no tenía nariz de reno los cuernitos 
219, amigo mi me robaron dólares en un pedido que jamás me entregaron no se hacen carga de nada 
220, necesito su contacto urgente el reembolso de los que me han debitado robado de mi cuenta bancaria me imagino que esto no pasa únicamente conmigo sino con miles de usuarios nivel nacional para investigar 
221,comunidad de twitter acudo ustedes como favor especial ayuda para que podamos difundir el robo de sus usuarios cómo pueden ver en los screenshots de mis últimos movimientos me han robado de todos los montos solo solicité el de 
222, el día de ayer tomé un uber desde el alhambra plaza hasta urdesa pagué en efectivo la chófer puso mi pago como pendiente que se supone que debo hacer 
223, son una plataforma que roba descaradamente sus usuarios operan en la impunidad sin dar la cara dos débitos por un mismo servicio exhiben una tarifa después te suman impuestos eso es ilegal 
224, estimados se nos quedó una laptop en uno de sus unidades necesito su ayuda para poder ubicar al conductor la placa pdo el nombre indica que se señor se llama edmundo demetrio la computadora es de trabajo más documentos
225, quiero reportar que nunca me llegó mi pedido llame al establecimiento si lo entregaron 
226,desde ayer estoy pidiendo una unidad no hay auto disponible qué se debe 
227,
228, el día de ayer me hicieron un consumo en la tarjeta de uber trip help uber de que se trata 
229,pude llegar casa vivo pero también hubiera pasado que no hubiera llegado entonces mi recomendación cualquier acción sospechosa de un conductor que pidan por aplicaciones como cancelen 
230, la cálidad está bajando los precios no solo es lo importante sino que los ubers estén bien pagados para que puedan atender bien hoy tome dos carreras ambos conductores conducían molestos supe rapido no sin nada atentos ni coordiales incluso gritan
231, estoy harto de que los conductores solo quieran que se les pague en efectivo por que si es con tarjeta no me quieren aceptar la solicitud de viaje simplemente me dicen solo efectivo basura de servicio que ofrecen tengo que pagar al gusto de los mamertos de sus conductores
232, el dia de ayer le cerraron la cuenta mi hermana sin ningún aviso previo ella utiliza sus servicios diariamente para movilizarse al trabajo tiene en uber cash necesitamos saber cómo recuperar ese valor 
233,sr presidente es posible que en el día una carrera en cueste menos de por la madrugada haya costado más de acaso esto es quien controla estos precios c 
234, pido una carrera espero min llega un carro con otra placa el señor dice que se olvidó de cambiar de carro por cancelar la carrera me cobran una penalidad por tiempo del señor el tiempo que yo perdí mí no me consta si el señor tiene más carros registrado
235, si hp deberian poner una opción para bajar puntaje quienes cancelan el carro medio camino así como nos bajan puntos los pasajeros 
236,pero que es esto uno se demora min en subir al carro lo penalizan ustedes se demoran min quien los penalizan 
237, voy tener muy en cuenta mis carreras no vaya ser que no me las estén contabilizando peor aún no me las estén pagando 
238, no es la primera vez esta semana lo mismo ocurrio con la promoción anterior de este lunes jueves carreras no contabilizadas mas seriedad 
239,sres que le esta pasando generan promociones para conductores hay viajes los cuales no se esran contabilizando aún cumpliendo con sus requisitos no se contabilizan los viajes de viajes solo contarón la mitad 
240, ha pasado varias horas desde que me llego el aviso de cobro de la tarjeta por un servicio que no se me brindó aún no me confirman que el dinero no sea cobrado 
241, favor su ayuda necesito dirección contactos de uber en orlando requiero contactarme con conductora del vehículo de placas afep mi cartera quedó en su carro ahí están mis documentos personales incluido mi pasaporte hoy tengo mi vuelo de retorno ecuador
242, espero respuesta del cobro realizado sin asignarme el vehículo no pueden cobrar cuando en el sistema no asigna un vehículo alguien cancela para buscar otra opción
243, buenas noches olvidé un bolso en la parte de atrás del carro de placas afep que conducía margo desde aeropuerto mco hasta el hotel wyndham garden orlando ahí está mi pasaporte para viajar mañana ecuador favor su ayuda ella no responde las llamadas
245, buenas noches dejé olvidado una cartera en el carro de margot afep está todos mis documentos pasaporte para viajar mañana hacia ecuador necesito urgente su ayuda la carrera fue del aeropuerto de orlando hacia el wyndham garden orlando
246, pésimo servicio del local de cumbaya una hora media para una promoción de uber eats el gerente del local cuelga el teléfono atención sector plaza del rancho ustedes son los duros 
247,por qué cobran dos veces cuando se paga con tarjeta de débito 
248, está dando un pésimo servicio los usuarios cómo es posible que más de conductores cancelen una otra vez la carrera ya son varios días con lo mismo dejen de hacer perder el tiempo sus usuarios si no quieren hacer las carreras no utilicen la app
249, cómo va ser posible que por uds yo pierda una cita médica que dejé separando por anticipación que alguien me explique cómo un conductor de uds se puede equivocar en una situación tan sencilla en la cual uno le cambia el punto de partida la vuelta 
250, con quien me puedo comunicar tengo un cobro de no sé de qué es 
251,cansado de los conductores de que última hora siempre cancelan los viajes yo no pongo el valor lo pone la aplicación espero sean sancionados porque siempre pasa 
252,decidí cambiar por por qué me cobraron un viaje que nunca hice nunca me devolvieron el dinero una simple acción perdieron un cliente de los millones que tienen 
253,el uber además de cancelarme cuando vió que tenia bolsas literal metros de distancia me intentó mojar con el charco de agua 
