,tweets
1942, cómo permiten que gente así trabaje con ustedes se fue pesar de esperarle exactamente en el punto pero lo grave es cómo no canceló para ser yo el que cancele me cobren mi esas vivezas no pueden darse en empresas como esta espero una respuesta 
1943,los clientes se nos ríen en la cara cuando nos pagan las miserias que pagan qué es lo que pasa con esta app con tarifa dinámica te parece que estés ganando un poco más pero vas wallet se han cobrado casi el de comisión juego macabro 
1944, ningun pasajero se sienta adelante va como copiloto
1945, son ilegales
1946, la base de datos es muy vulnerable de uber cuánta información se ha filtrado
1947, yo tampoco sabia de ese problema de las multas por eso no me gusta uber no lo utilizo prefiero ir sentada atrás uso una compañía de taxis conocida es más seguro 
1948, si es un servicio ilegal para ud no los tome está fomentando la ilegalidad para mi uber me da mejor servicio pago tarifas mucho más bajas colaboro personas que quieren salir adelante 
1949, en un espacio cerrado de un auto da igual si estás adelante atrás exija que usen bien la mascarilla bien tapada boca nariz este con las ventanas abiertas le da la posibilidad de reembolso las multas son muy fuertes hay que tener un poc de empatía 
1950, taxi amarillo tienen esa separación pagas por ventanilla bastante más seguro en tiempos de covid 
1952, ahora quien pone la denuncia de ahí nace el trabajo organizado legalizado si usted usa uber esta ayudando la explotación de un trabajador que no le queda otra salida
1953, no es tan así distancia mascarilla manos limpias 
1954, den buen servicio sino la gente nos estamos acudiendo que es más ágil mejor 
1955, los de uber son así mismo mi me hizo un tipo de esos bajar de su uber porque yo no tenía internet en mi celular fue humillante encima me cobraron
1956, qué feo té expresas respeta
1957, lo mejor es tener una cooperativa de taxis legales de confianza te dan muy buen servicio ej taxis galaxy 
1958, srs por que siempre me cobran veces la misma tarifa de prueba cuando registro un método de pago 
1959, las estafas de uber encima después te roban el dinero porque el pedido nunca llega con promoción de dólares sin promoción 
1960,les pido que me dejen seguirles ya que soy un usuario tengo una queja grave con uber eats que no me responden help 
1961, es una estafa en especial en uber eats es una vergüenza te roban el dinero
1962,siempre veo cosas malas en twitter pero hoy quiero anunciar que fue demasiado eficiente para solucionar el problema de que mi conductor indicó que no pagué la carrera aunque sí lo había hecho problema resuelto super rápido con amabilidad 
1963,cuando piensan poner la opción pet friendly 
1964, es casi el mismo porque como deduces el valor de la penalidad de uber hablando de rentas ahí hay un monto interesante de dinero
1965, tu no la estás usando mi vida si no quieres sentarte alado de ese hombre asqueroso entonces pide taxi amarillo es sencillo vacunate así se te quita un poco lo asquienta 
1966, es muy mala la imagen que dan conductores así hacen perder el tiempo uno 
1967, que bueno saber que hay personas más pendejo que uno es bien coju tu respuesta 
1968, si encima súper groseros hice el reclamo les valió un por eso ocupen otras app
1969, eso es otro tema pero esos impuestos no están bien tampoco el rentas se deja ver para variar 
1970, en tiempos de pandemia no existe ninguna lógica que ese sea el criterio para determinar que el del asiento de atrás está pagando un servicio de taxi debes decir niños van en el asiento trasero jaja
1971, no uses el servicio de uber las aplicaciones tome un taxi puede ir cómoda en la parte de atrás los dan el servicio corrien el riesgo de multas de mil dólares puntos menos en la licencia si le duele ctv elimine la aplicación sea feliz con los taxis amarillos
1972, mí me pasó algo parecido pedí un uber decía que llegaba en minutos nunca llegó le cancelé encima me cobraron los 
1973, resolviendo lo que usted dice al principio el servicio era bueno pero ahora cobran la penalidad no contestan yo pienso que el taxismo formal debería ponerse pilas hacer una aplicación similar que si la hay pero el problema es los mismo dirigentes tienen uber
1974,por favor necesito una respuesta esto acabo de cancelarle al conductor el valor de la carrera me llegó este mail 
1975, si son bien abusivos vienen con acompañante quieren imponer las cosas por eso yo ya salí de esa aplicación ocupo otra así elijo que tan espacioso es el vehículo que pido sin problema 
1976, andaaaaaa uber es un servicio pirata que lucra de los choferes los usuarios el problema es que si vas atrás los para un policía los multa es competencia desleal porque no paga lo impuestos que los taxis formales ni pasa por revisiones
1977, esto es verdad me paso simple no uso 
1978, coincidencias no lo sé pero ayer pedí taxi para hacer delivery de vegetales el conductor nunca llegó hoy el uber llegó pedí un momento para coger mis documentos al salir ya se había ido no hay cómo explicar esto una operadora ambas carreras pagadas 
1979, una porquería es 
1980, no respondes mi pregunta sobre la necesidad de ser grosero uno puede hablar siempre para eso somos seres racionales usamos la razón 
1981, eso da derecho hablar dialogar a tirar mierda 
1982,me parece una falta de respeto que uber eats ecuador me envíe miles de mailings al día indicando que tengo descuentos en los pedidos cuando quiero aplicar uno nunca me funciona pésimo servicio 
1983, puede escribir bien para entender 
1984, ojo que te cobran el recargo de la carrera nunca te devuelven mi hasta ahorita no me hacen la devolución de mi valor dicen que es el banco el banco me dijo que uber no ha solicitado ninguna devolución mi cuenta 
1985, la misma excusa oendeja de los tacos amarillos 
1986, si no hay distancia usas la mascarilla listo 
1987, solo reporta explicando tú inconveniente para que te haga la devolución 
1988, muy simple dejar de usar uber 
1989, no use el servicio de uber asunto solucionado leo muchos comentarios donde le explican el hecho de no poder ir atrás 
1990, señora no se amargue la vida coja un vehículo legal hace tremendo escándalo cuando la solución la tiene usted misma por ctv se que es dinero pero esos mismo ctv se le puede caer hasta en un taxi legal buen día 
1991, deja de ser ridículo 
1992, relájese tómese un cafecito bajele unos dos puntitos esa irracionalidad 
1993, por ctv 
1994, lo que no entiendo es cuando termina la corrupcion si es ilegal es ilegal todo lo ilegal es corrupcion 
1995, mónica así sucede ya me pasó mí tuve que llamar un taxi amarillo de cooperativa que vienen con plástico transparente para aislar al cliente llamé una cooperativa de su confianza 
1996, pero si ya conoce porque no le quieren llevar adelante debería pedir un taxi amarillo con eso se soluciona el problema es obvio que uber no puede hacerlo porque los policías de tránsito les sancionarían ya que hasta ahora no le autoriza el servicio de esas aplicaciones 
1997, cuando ellos te cancelan también eso es lo maximo 
1998, con mascarilla ventanas abiertas en pro del bien común no estaría dispuesta ceder así como un favor demostrando empatia con arto alcohol por todos lados 
1999, yo usaba uber alguna vez solicité el conductor me dice tengo una deuda que no había cancelado la carrera anterior reclame escribí me solucionaron pero ya no puedo solicitar vehículo porque solo me sale que debo pagar con tarjeta de crédito 
2000, es su problema si cree que es ilegal aún así toma el servicio
2001, buenos son las condiciones que impone ubber sino esta dispuestas ajustarse no use el servicio 
2002, si asi jode pobre marido 
2003, porque es un idiota informal así son ellos 
2004, no no están autorizados la multa con gastos de remolque parqueo bordea los dólares vs la necesidad de dar de comer una familia ganando entre dólares diarios después de pagar la comisión la gasolina el mantenimiento de los vehículos 
2005, es verdad buenos días son abusivos yo les he cancelado veces porque demoran igual me cobran estos también me han cancelados varías veces a quien le cobro
2006, si lo detienen van ayudar pagar dólares de multa entonces utilicen taxi amarillo suerte si no les roban los secuestran el contagio se puede dar hasta en su propio hogar se quejan ir adelante que gente dios
2007, entre dejar de coger uber terminar contagiada con covid por no guardar distanciamiento me con lo primero en gquil jamás los conductores de uber obligan que uno vaya junto ellos 
2008, dólares de multa un mes sin trabajar endeudado en plena crisis económica sean conscientes razonen un poco ayuden para evitar estos problemas con los están en el volante tratando de llevar el sustento sus casas si no utilicen taxi así de simple
2009, para entienda la señorita se queja ir adelante le explico un familiar trabaja con uber hace un año lo detuvieron los agentes de tránsito ellos saben cuando es aplicación carro de color pasajero atrás ellos se saben todo se llevaron detenido el auto días
2010, esa es la taza del servicio al ser cancelado reglas son reglas
2011, me pasó exactamente igual 
2013, si es ilegal use otro servicio
2014, entonces señora coja un amarillo si no quiere sentarse lado del chofer siga manteniendo esos señores que cobran lo que les da la gana con un taxímetro engañoso 
2015, no se necesita tanta agresion
2016, mi en españa me pidieron de penalización por cancelar el uber pesar de que llegaba el uber con minutos de retraso
2017, bien hecho por adefesioso
2018, todos sabemos que si tomas uber cualquier aplicación similar vas adelante 
2019, estimada monica le recomiendo una nueva app con mejor servicio mejores tarifas 
2020, no sólo eso ahora los señores de uber te escriben un mensaje preguntándote si es con tarjeta con efectivo si no es cash abandonan la carrera no hay cómo denunciar un mal servicio el usuario está merced de su voluntad 
2021, exacto es algo tan sencillo como eso para el drama 
2022, es lo normal al usar uber no puede sentarse atrás porque les quitan los autos los multan es la forma de mantener el servicio creo que si no está de acuerdo el taxi es la opción
2023, es que si usted se sienta atrás le detienen los tiburones le sacan plata 
2024, si mejor los que se quejan de sentarse adelante piden un taxi amarillo es conocido que uber hace sentar adelante la gente para los municipales no los molesten nada mas si tanto les molesta eso busquen otra opcion
2025, me pasó hoy lo mismo pero me envió por mensaje que me siente adelante que por los policías yo cancele el servicio 
2026, si es su problema la próxima vez llame taxi amarillo deje de molestar 
2027, pobre gente más de ser perseguidos por agentes de tránsito yundistas incomprendidos por gente que piensa que puede mirar la gente por debajo de sus narices no jodas vos 
2028, se queja de la distancia por motivos del covid pero bien que van que les respiren en la nuca los supermercados centros comerciales 
2029, si fuera légal el uber en ecuador dejaran trabajar estas personas eso no pasara pero como no es legal los vigilantes aprovechan para sacarles plata ahí es fácil la persona que no quiere sentarse adelante coja mejor taxi amarillo
2030, hay mucho desempleo gente desesperada es una forma honesta de ganarse la vida se debería legalizar el uso de estas plataformas no obstante uber debería reembolsarle el cargo por ética 
2031, entonces le toca coger taxi amarillo porque à los uber los vigilantes los molestan
2032, las aplicaciones en sí mismas no son el problema el primer problema es que según la legislación es penado por la ley la informalidad es decir el vehículo que transporta pasajeros debe pertenecer una cooperativa de taxis el segundo problema es el gremio de transportistas 
2033, por qué gente reclama sin saber el contexto del problema el mal del milenio el egoísmo sólo piensan en sí mismos narcisismo por eso los selfies los likes 
2034, no acostumbro usar uber taxi amarillo regularizado es lo mejor 
2035, cabify permite seleccionar taxis legales me parece que es una mejor opción ya que puedes elegir taxi auto particular 
2036, un poco de empatía no te vendría mal 
2037, también es tu problema desde el momento que usas un servicio ilegal si te piden que vayas adelante es para que su vehículo no vaya detenido en un operativo de tránsito más aún considerando que la multa por informal es de sbu más puntos la licencia el vehículo retenido
2038, coje bus
2039, que raro le digan eso porque lo normal es uno se siente atrás sobre todo protección cuidado espero puedas solucionar el problema
2041, se queja por ctvos lo que hasta el conductor en dirigirse dónde usted se encuentra eso no cuenta pudiendo cojer otro cliente que si está de acuerdo con lo el conductor le pide sentarse adelante 
2042, vos eres grosero por 
2043, no es ser abusivo si usted desea un uber esa es la condición porque nosotros los conductores nos multan los agentes de tránsito si no desea sentarse delante pida un taxi amarillo punto los conductores no vamos perder dólares por una carrera de dólares
2044, no lo tome más nunca me solucionaron me parecen unos abusivos seguramente seguiré con la deuda pero ya no quiero saber nada de ellos
2045, antes taba uber pero una ocasión me cobraron una carrera que no me hicieron pues desembarque en en sitio me hicieron la carga como que fui otro reclamé al aire porque nunca tuve respuesta como necesitaba del servicio esto por dos ocasiones más así que me cansé
2046, las vacunas no dan super poderes 
2047, fácil no pidas uber sabiendo que no pueden llevarte porque es ilegal en el país
2048, los agentes de tránsito ven autos que no son amarillos con pasajero en el asiento trasero los detienen su vehículo va un mes detenido tienen que pagar dólares para retirarlos sí no entiende eso use taxi amarillo no joda
2049, si son ilegales no le gusta ir delante no lo pida no joda
2050, tome taxi amarillo no joda si ven que es taxi de aplicación le retienen el carro gente pendeja piensan solo en ellos 
2051, aparte del cobro de la penalidad me parece el colmo que en época de pandemia te quieran obligar sentarte al lado del conductor
2052, en cabify tampoco hay pelear para ir atrás 
2053, el taxi amarillo es mejor dejándose de modas de ahorros ínfimos es mi experiencia 
2054, después los vigilantes le quitan su herramienta de trabajo le piden un cariño para mi es un servicio excelente
2055, uber debería anticipar que sólo llevará pasajero en el asiento de adelante listo 
2056, lo peor es que esos ctvos no son para el conductor el conductor pierde su tiempo la gasolina la carrera 
2057, entonces no pidas uber
2058, tome un taxi amarillo los uber no pueden llevar pasajeros sin copiloto porque tienen problemas con los de tránsito ellos estan sin regularizar su servicio si tanto se queja coga un taxi amarillo mas el drama tipica sufridora todo problema 
2059, entonces no tomes el servicio 
2060, sea eres consciente de que vas cometer un acto ilegal pero no es tu problema sí lo es se llama complicidad 
2061, entonces coge un amarillo simplemente no critiques tienes tú que elegir son personas que necesitan trabajar piensa un poquito
2062, hace un año pasa eso no hay correctivos hasta la presente 
2063, lo mismo les dije yo casi me pega me respondió si no le gusta cancele el viaje
2064, asi mismo es
2065, esa ha sido la característica de uber aquí siempre si no es por ahí siempre se puede pedir taxi de la calle aunque sigo confiando más en uber 
2066, no es cuestión de si no del conductor si por distanciamiento en ningún sitio del auto cumple como chófer usuario debes exigir uso de mascarillas alcohol etc si no les gusta sentarse adelante cojan uno amarillo el mismo de uber aplica todas las apps
2067, que abuso
2068, entonces coja taxi no joda 
2069, el servicio de es cada vez peor una vez que han captado el mercado piensan que pueden hacer lo que les da la gana con el cliente una verdadera lástima 
2070, tome un taxi amarillo los uber no pueden llevar pasajeros sin copiloto porque tienen problemas con los de tránsito ellos trabajan para alimentar sus familias fueron verla la multa es justa 
2071, bien eso por preferir un servicio que precariza además de que es el más barato de toda la oferta de taxis recibes lo que pagas la final siempre 
2072, pido justicia odio el abuso por mínimo que sea
2073, no creo que son ilegales las prataformas de taxis ya estan autorizadas no 
2074, a
2075, mujeres que salen joder al mundo párese en una esquina tome un maloliente taxi amarillo
2076, no se amargue llamé un taxi asunto resuelto 
2077, usted tiene un uber 
2078, ok supongamos que ninguna plataforma presta más el servicio porque nadie quiere sentarse adelante van volver todos al taxi amarillo así de conformes 
2079, perfecto mónica entonces tomé un taxi amarillo vaya donde ud guste así es consecuente con sí misma la explicación es clara si un metropolitano ve que un auto hace uber la multa total es entre ese no es su problema pero si lo será para el conductor 
2080, si lo es si pides uber no son legales debes acompañar en la ilegalidad
2081, el problema es que uber no le ha ofrecido una solución sus conductores en ese aspecto como no pueden pagar las multas los conductores prefieren arriesgarse ponerse en riesgo ti eso lo sabe perfectamente uber pero para ellos el conductor no vale nada 
2083, hay un tema detrás es que en la lógica del conductor está llevar adelante someterse al chantaje de los agentes de la ley costosa costosas consecuencias 
2084, los autos ejecutivos llevan su pasajero como diplomático general en el asiento trasero 
2085, buenas tardes es el do uber que solicito no llega mi destino tengo minutos perdidos por ustedes
2087,a le cobró la carrera completa respondan 
2088, estaba esperando hora el chofer incrementó los minutos de espera lo cancelé me cobraron 
2089, mi por reclamar lo mismo reportaron que no llevaba mascarilla para el próximo viaje tuve que enviar una foto con mascarilla
2090, simplemente estoy explicando cuál es la razón por la que le piden que se siente junto al conductor estoy de acuerdo no tienen porque cobrarle nada su motivo es válido 
2091, creo sólo nos pasa mujeres me ha pasado con uber amarillos coop taxis particulares 
2092, ellos pueden hacer su trabajo cómo gusten pero yo no tengo la obligación de dejar que me respiren en la oreja en tiempos de covid pero no me deben cobrar nada 
2093, es que los metropolitanos no les molesten porque los taxistas formales impiden que estas plataformas trabajen en paz si usted está adelante es como si fuera alguien conocido sino es pasajero 
2094, pero si no quieres ir adelante te toca tomar taxi amarillo 
2095, exactamente
2096, ese no es mi problema sí 
2097, me voy bajar esa app ray naw
2098, yo tampoco hasta hoy 
2099, pero fueron los que me querían susurrar covid al oído 
2100, más barato cabify no cobran por cancelar además puedes pedir taxis amarillos para poder ir atrás
2101, porque son ilegales pero ese no es mi problema
2102, no he tenido ninguna mala experiencia con uber todo bien siempre lo uso 
2103, por eso mi recomendación cuando pidan un taxi deseen viajar en la parte de atrás por desgracia los llega parar un operativo el agente proceda interrogar ustedes simplemente digan no señor no le puede responder 
2104, los choferes por no tener problema con la autoridad prefieren llevar los pasajeros en la parte de adelante 
2105, que ellos tienen la grabación en donde lo vio recogiendo la persona en la calle tanto así que he vistos casos en donde el agente interroga al pasajero el pasajero dice sí el me está haciendo una carrera 
2106, lo que pasa es lo siguiente en las ciudades siempre encuentran operativos de tránsito el agente al parar un vehículo comete siempre el error de decirle conductor que el presta el servicio taxi piratas desde ahí está mal el proceder del agente 
2107, bien dicho su comentario si el vigilante lo ve haciendo carreras cosa que muy de repente pasan lo que pasa es que los choferes no saben de ley también he visto casos en que la gente no colabora 
2108, los ubers nunca quieren llevar atrás porque será 
2109, esto es el colmo para pasar de agache quieren que uno se siente adelante 
2110, cabify tienes opción de pedir taxis amarillos viajas segura 
2111, me ha pasado lo mismo dos veces
2112, mi en eeuu es la misma cuenta que tengo aca me cobraron solo por arrancar porque el señor no conocia la direccion hice un reclamo la tarjeta de crédito no pague me suspendieron la cta
2113, mi me cobraron una carreta que nunca me subí
2115, las plataformas legalmente no constan en la ley de tránsito si un agente de tránsito te detiene ellos lo toman como que el conductor está prestando servicio en un vehículo no autorizado pirata enseguida se llevan el vehículo los patios de retención 
2116, moca pensé que solo mí me pasó 
2117, ese es el mal de todos aparte del abuso ladrones que son lleva tres veces que termino insultada por sus choferes no hay quien quejarse por que uber no se responsabiliza me cambie didi espero no sean así de abusivos
2118, son unos pillos en ruedas
2119, exactamente vino un segundo auto fue la misma vaina un tercero que me dice cancele usted porque yo no puedo 
2120, si les decimos también que dejen de comer 
2121, nunca canceles el viaje nunca ellos se hagan cargo
2122, siempre que pido un uber es lo mismo 
2123, lo pasa es si un vigilante lo ve está haciendo carreras lo van citar así los conductores no se quieren arriesgar
2124, siempre es lo mismo me lo han hecho muchas veces no hay suficiente distancia 
2125, nunca nos ha pasado ese chofer la quería cerquita de él 
2126,a ver señores cómo es la cosa pido su servicio el chófer llega me dice que tengo que sentarme su lado le digo que no hay suficiente distancia él dice que atrás no me puede llevar canceló el viaje ustedes me cobran de penalidad súper abusivo 
2127, actualmente los conductores están llamando preguntando qué destino va si el pago es tarjeta efectivo después cancelan la carrera esto ocasiona demoras muchas demoras de hasta minutos para un conductor es lamentable que pase esto favor exortar
2128, mi cuenta fue hakeada no he recibo ayuda de uber mis fondos de seguro fueron retirados por los delincuentes uber no ha contestado mis mensajes de facebook mi cuenta está siendo mal utilizado 
2129, mi cuenta fue hakeada no he recibo ayuda de uber mis fondos de seguro fueron retirados por los delincuentes uber no ha contestado mis mensajes me facebook
2130, si vas decirles que el pedido te llego incompleto que se demoraron una vida que te cobraron doble que no te llego el pedido algo así pues eso les pasa diario un comentario más un comentario menos no les importa fin del comunicado
2132, todo un fin de semana no logran ubicar este conductor 
2133, qué número debo llamar olvide mi teléfono en el carro que me dió el servicio hoy 
2134,señores cómo así ustedes debitan de mi cuenta un valor por retención aún no lo acreditan esto es un total abuso nada confiable c 
2135, una vez más cancelan carreras porque se paga con tarjeta en esta ocasión fueron dos conductores pero solo pude capturar uno insisto si no van poder cumplir eliminen la opción tarjeta 
2136, buena tarde aplicación en esta funcionando muy mal mi último viaje nunca me actualizo que había llegado el conductor
2137, eso se llama estafa segun el coip 
2138, son ladrones en siempre dan promociones que no funcionan eso se llama estafa quien regula esto 
2140,estoy por creer que uds no les pagan sus conductores cuando es con tarjeta porque casi nunca quieren llevar pasajeros que usan este método de pago qué está pasando 
2141,acto seguido me canceló la carrera después de haberlo esperado por minutos tiene estrellas pésimo serviciooooooooooooooooo 
2142, hi spannish support please to ecuador 
2143, uber es más seguro pero hay conductores que no entiende el concepto de excelencia la ineptitud se convirtió en un paradigma de condición
2144, como realizó una denuncia sobre el cobro de un pedido que han realizado con mi tarjeta acabo de bloquear mi tarjeta de crédito en el banco sin embargo no puedo suspender el consumo que han realizado 
2145,definitivamente tengo una maldición con pedí un auto estaba minutos de distancia me hizo espersr media hora nunca llegó pésimo servicio 
2146, hola necesito ayuda porque me debitaron el total de la carrera cuando el conductor me la canceló 
2147, es costumbre que los conductores cancelen las carreras cuando ven que son con c porque no es la primera vez que me preguntan cancelan la carrera siendo conductores con buena puntuación 
2148, es el peor servicio de plataformas del país como ha bajado en impresionante
2149, por favor su ayuda voy sus ofic con una cita por no tener dónde parquear el carro llegué min tarde me hackearon la cuenta desde su misma aplicación tenía un dinero acumulado ahí me lo robaron un guardia me dice saque cita nuevamente por dios 
2150,pésimo servicio de te cancelan carreras te cobran carreras que no coges
2151,mis respetos el soporte servicio al cliente lo máximo gracias por toda la ayuda con mi viaje de ayer seguiré utilizando sus servicios gracias 
2152, buenas noches soy socio repartidor de ecuador guayaquil no me salen solicitudes de entregas me conecto por horas no me salen pedidos si pudieran revisar mi caso muchas gracias
2153, la costa
2154, los odio 
2155,harta de ubereats sus dobles cobros lo peor son sus respuestas súper que te dan entender que ya no te devuelven nada 
2156, sres por favor mejoren su servicio este conductor toma el viaje pregunta cuánto es al enterarse que es un valor de uber promo decide dejarnos varados en la av mariana de jesús adicional se me quiso agregar el valor de usd socio conductor de mal carácter 
2157, tengo que pagar cancelación porque el conductor quiere obligarme ir adelante que mal trato así prefiero cabify
2158, lo bueno de las apps de taxi es no das información de donde vas al conductor es mas seguro para el usuario las apps resuelven el problema del para allá no voy de los taxis amarillos 
2159, hay algo mal en que te consulte el conductor donde va no creo es oferta demanda así como usuarios eligen donde ir creo conductores tsmbien pueden elegir donde ir donde no no crees 
2160,desde cuándo uber está brindando un servicio tan malo en ambato ya parecen los del gremio amarillo pesar de que pago hasta uber pass sus socios conductores les hacen quedar mal 
2161, no veo la respuesta lógica marketing de uber eats en ecuador guayaquil no hay por eso no tenemos asignación de pedidos
2162,me acabo de dar cuenta de que la carrera en taxi que tomé ayer me sale como no pagada cuando yo pagué esto en efectivo ahora me dicen que ese saldo se me cobrará en el próximo viaje qué se hace en este caso cc 
2163,clonan mi tarjeta entre tantas compras que han hecho haciendo débitos lo desgraciado pasan h no tengo respuesta de ellos llamo y el proceso investigación dura días en conclusión me han visto la cara veces el mismo día 
2164, hola uber saludos desde ecuador un día terrible usando uber viajes cancelados porque el pago es con tarjeta de crédito hora media esperando si el conductor no desea pago con tarjeta pues que vean viajes solo en efectivo
2165, me ha robado de la forma más hpta habida el servicio al cliente es una porquería han pasado horas no me dan solución al problema sin contar que el tiene un procedimiento bien caduco débitos en dos días 
2166, mi me pasó en se está dando más seguido usuarios piden carreras cuándo llegan al destino no pagan
2167, contratalo 
2168, te juro hacen perder el tiempo 
2169, el que se hace el pendejo para saber donde le toca ir depende de eso sigue cancela la carrera 
2170,no entiendo como gente así tiene buena calificación dan pésimo servicio el conductor tomo mi carrera pero decidió irse otro lado ni responde 
2171,la plena que uber_ecuador está sacándole la chucha los choferes tira número desde el mix center de la av león febres cordero con parada en orquídeas tía samanes sauces pm de hoy de julio un robo para el chofer 
2172,el del uber me empezó decir você manito yo wtf al parecer juega al call of duty del algún país de latam dicen así yo creo que son de ecuador 
2173,por favor manden un uber ecuador traigan ya ayoví no podemos jugar mas con díaz
2174, luchita estás en uio eso está pasando por esa otra app llamada didi aparentemente da muchos más beneficios sus conductores
2175, si contestan lo dejan aquí todos quiero hablar sobre un país sin incentivos de parte de uber
2176, por favor podrían ayudarme con un número de contacto es urgente
2177, pero por qué la salsa de maní v
2178, chaulafán con salsa de maní en gong
2179, estimado subirían allá por que acá en ecuador las tarifas bajaron mucho lo que si ha subido es el porcentaje de ganancia para uber en muchas ocasiones hasta casi el no hay quien reclamar 
2180, eso es confirma v
2181,amigos pedí algo malísimo por 
2182,con la mitad del sueldo del hubiesen podido pagar masajistas fisioterapeutas hasta el uber de todo el equipo de apoyo para ecuador 
2183,esto está pasando con en quito conductores preguntan si el pago es en efectivo tarjeta al decirles tarjeta cancelan 
2184,linda su webada de uber gratis por ir al centro de vacunación ningun uber quiere acepta la carrera soy vacunadora llego tarde por sus conductores de mrd 
2185, vacunagye ese es
2186,por que me cobraron dos veces un pedido en ubereats 
2187,hay letreros gigantes de uber en guayaquil haciendo propaganda de su servicio de taxi tienen convenio con el banco pichincha para dar sus socios conductores beneficios cómo carajo es ilegal ecuador sus gremios mafias 
2188,olvidé mi billetera en un en gye traté de hacer la gestión por la app hasta el momento no me han contactado con el conductor ni han mostrado algún indicio de querer ayudarme 
2189, la promoción en ecuador de de carreras es solo una vez culminó las empiezo de nuevo participar 
2190, sigue sin ayudarme resolver mi problema con la cuenta yo necesitandolos en esta semana 
2191,alguien favor me puede pasar un contacto de uber eats no me logro comunicar con nadie en guayaquil ecuador 
2192, ayer un malcriado canceló la carrera pero igual me debitaron el valor de esa carrera más el valor de la segunda que si me llevó educadamente exigo la devolución de mi dinero gracias 
2193, pido un vehículo el vehículo no sabe dónde queda la universidad estatal de guayaquil tras que le reclamo que se va por otro lado actúa de manera grosera no se qué clase de servicio nos dan los usuarios si tienen conductores groseros 
2194, no hay unidades precios carísimos esa competencia entre didi está afectando al usuario
2195,srs srs así es como uber paga sus socios choferes bloqueando la cuenta de por vida por un falta de términos condiciones que ellos han detectado ni si quiera se han tomado la molestia de averiguar 
2196,mariconnnn he gastado como solo en uber eats esta semana mas que sea denme un cupón de descuento 
2197,llegar cansada casa sin poder ir en un bus por miedo gastando extra en un uber con miedo en el camino para llegar enterarme que ni siquiera armas un uniforme pudieron evitar que una mujer sea brutalmente violada eso es ser mujer en ecuador 
2198, debes ser usuario de uber para que le envíen su código personal saludos
2199,en si eres te multan con retienen el auto por días trabajar de forma honesta no vale pero si robas te dicen porque no trabajas el sistema te arrincona tal punto 
2200, la cubeta de cangrejos mexicanos en quito ecuador hace años que los taxis del aeropuerto son al mismo tiempo didi uber aéreo taxis sin problemas
2201,the app in ecuador is ready to help us to go to get the vaccine using less money 
2202, cual es el código 
2203,belleza 
2204, el servicio de uber eats en ecuador es un robo te cobran no entregan el pedido soporte solo envía respuestas de script donde no te dan solución solo se justifican para no devolverte lo indebidamente cobrado ladrones incompetentes 
2205, lamentamos que hayas tenido esta experiencia con nosotros te hemos enviado un dm para poder ayudarte comunicarnos contigo estaremos pendientes 
2206,buena musica de mi taxista de hoy 
2207,detesto con mi vida el servicio de uber en ecuador 
2208,y aún siguen pasando estas cosas juegan con el tiempo de quienes solicitamos el servicio 
2210, muchos rappi uber sofia en mx en ecuador está comenzando pero ya hay algunos voy hacer un hilo te comparto 
2211, me habian dado unos cupones en uber eats con vencimiento el dia el dia de hoy me eliminaron los cupones la decepcion la traicions me voy con rappi pedidos ya 
2212,algunas empresas tienen dentro de sus reglamentos el uso de mascarilla es una de ellas incluso te indican que tu conductor la usa que tú también debes hacerlo pero no todos obedecen ni aunque se lo haya pedido amablemente 
2213, cuál será el motivo actual por el que ya no quieren aceptar pagos con tarjeta caso no está cumpliendo con sus pagos conductores son muchas las interrogantes
2214, ya no se puede confiar en uber este es el uber al enterarse que era con tarjeta canceló así muchos casos por lo visto cada ves hay menos uber estás de baja 
2215,que pena que el servicio de en ecuador se esté dañando por la aptitud actitud de algunos conductores esperemos mejoren
2216,la cooperativa absorbió ecuador movimientos societarios interesantísimos 
2217,que coraje que él uber te haga bajar medio camino inventando que se le subió la temperatura al carro en un carro nuevo siempre me pasa que no quieren llevar porque no pago en efectivo su servicio se está haciendo peor que el de los amarillos 
2218,my second phone in order for her to be in contact with me forgot to uninstall uber driver before handing her the phone come to find out that she was trying to go online in ecuador out of curiosity it because of that my account got deactivated and promise this won t
2219, my account has been deactivated because of suspected account sharing however can explain ve been using cellphones to complete deliveries ve used one for navigation and the other for getting deliveries my sister recently traveled to ecuador and lent her
2220,estos des adaptados taxistas creen tienen derecho exigir los usuarios sabremos cómo cómo quien movernos personalmente prefiero 
2221, hola disfruta de un descuento de de descuento en tu primer pedido con la app uber eats ecuador yo también recibiré un regalo al pagar usa eats yrhl 
2223,me pedí un crepé increíble por solo te amo uber 
2224, cuando pides uber no te sale una opción para pedir un taxista pet friendly 
2225,en una carrera en la radio salió un concierto de los usuarios happys empiezan cantar el carro era karaoke jajajaja 
2226,escojo la carrera sale guayarte me escribe estoy en la católica le escribo ok no esta en guayarte llego la catolica espero espero espero me escribe estoy en el parque lineal decidete amigo 
2227, ya uber dejó de ser rentable se aprovechan de los socios conductores indriver tiró abajo el trabajo de muchos conductores aplicaciones de mierda
2228,señores de no puede ser que ustedes estén cobrando por kilómetro sabrán cuanto esta el galón de gasolina este paso se quedarán sin choferes pasajeros 
